"Rel","Top","Name","Lines","HasAssets","Assets","SizeKB"
"21-DevOps项目发布一体化平台构建及应用实践\1-基于Kubernetes集群构建大中型企业CICD应用平台\42_基于kubernetes集群构建大中型企业CICD应用平台\42_基于kubernetes集群构建大中型企业CICD应用平台\DevOps笔记-MarkDown原版\DevOps\DevOps.md","21-DevOps项目发布一体化平台构建及应用实践","DevOps.md","1777","False","","79.5"
"21-DevOps项目发布一体化平台构建及应用实践\44_云原生多云持续交付GitOps\44_云原生多云持续交付GitOps\44_云原生多云持续交付 GitOps\01_笔记\gitops.md","21-DevOps项目发布一体化平台构建及应用实践","gitops.md","1111","True","21-DevOps项目发布一体化平台构建及应用实践\44_云原生多云持续交付GitOps\44_云原生多云持续交付GitOps\44_云原生多云持续交付 GitOps\01_笔记\gitops.assets","54.5"
"21-DevOps项目发布一体化平台构建及应用实践\ArgoCD部署指南（2.9.1）\01-笔记\argocd部署指南.md","21-DevOps项目发布一体化平台构建及应用实践","argocd部署指南.md","476","True","21-DevOps项目发布一体化平台构建及应用实践\ArgoCD部署指南（2.9.1）\01-笔记\argocd部署指南.assets","22.9"
"21-DevOps项目发布一体化平台构建及应用实践\k8s集群双栈协议方案antrea(IPv4&IPv6)\01-笔记\K8S 1.22 版本双栈协议（IPv4&IPv6）集群部署.md","21-DevOps项目发布一体化平台构建及应用实践","K8S 1.22 版本双栈协议（IPv4&IPv6）集群部署.md","1016","True","21-DevOps项目发布一体化平台构建及应用实践\k8s集群双栈协议方案antrea(IPv4&IPv6)\01-笔记\K8S 1.22 版本双栈协议（IPv4&IPv6）集群部署.assets","40.9"
"21-DevOps项目发布一体化平台构建及应用实践\如何通过Gitlab及ArgoCD实现项目发布\01-笔记\使用Argo CD实现流水线发布项目.md","21-DevOps项目发布一体化平台构建及应用实践","使用Argo CD实现流水线发布项目.md","966","True","21-DevOps项目发布一体化平台构建及应用实践\如何通过Gitlab及ArgoCD实现项目发布\01-笔记\使用Argo CD实现流水线发布项目.assets","39.7"
"21-DevOps项目发布一体化平台构建及应用实践\通过ArgoCD实现多Kubernetes集群项目发布\01-笔记\使用Argo CD实施项目发布.md","21-DevOps项目发布一体化平台构建及应用实践","使用Argo CD实施项目发布.md","332","True","21-DevOps项目发布一体化平台构建及应用实践\通过ArgoCD实现多Kubernetes集群项目发布\01-笔记\使用Argo CD实施项目发布.assets","37"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\00_使用Knative平台环境说明\01_笔记\使用Knative平台环境说明.md","23-云计算下一个十年技术Serverless","使用Knative平台环境说明.md","199","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\00_使用Knative平台环境说明\01_笔记\使用Knative平台环境说明.assets","7"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\01_现阶段云原生应用领域介绍\01_笔记\现阶段云原生应用领域介绍.md","23-云计算下一个十年技术Serverless","现阶段云原生应用领域介绍.md","99","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\01_现阶段云原生应用领域介绍\01_笔记\现阶段云原生应用领域介绍.assets","9.4"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\02_为什么要引入Serverless\01_笔记\为什么要引入Serverless.md","23-云计算下一个十年技术Serverless","为什么要引入Serverless.md","71","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\02_为什么要引入Serverless\01_笔记\为什么要引入Serverless.assets","10.2"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\03_Serverless应用场景\01_笔记\Serverless应用场景.md","23-云计算下一个十年技术Serverless","Serverless应用场景.md","9","False","","0.5"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\04_Serverless架构优缺点\01_笔记\Sererless架构优缺点.md","23-云计算下一个十年技术Serverless","Sererless架构优缺点.md","14","False","","1.1"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\05_Knative介绍\01_笔记\Knative介绍.md","23-云计算下一个十年技术Serverless","Knative介绍.md","27","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\05_Knative介绍\01_笔记\Knative介绍.assets","2.2"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\06_Knative在云原生应用领域的定位\01_笔记\Knative在云原生应用领域的定位.md","23-云计算下一个十年技术Serverless","Knative在云原生应用领域的定位.md","12","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\06_Knative在云原生应用领域的定位\01_笔记\Knative在云原生应用领域的定位.assets","1.2"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\07_Knative与云原生平台的三个最佳实践方式\01_笔记\Knative与云原生平台的三个最佳实践.md","23-云计算下一个十年技术Serverless","Knative与云原生平台的三个最佳实践.md","48","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\07_Knative与云原生平台的三个最佳实践方式\01_笔记\Knative与云原生平台的三个最佳实践.assets","4.1"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\01_Knative_Serving\01_笔记\knative serving.md","23-云计算下一个十年技术Serverless","knative serving.md","760","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\01_Knative_Serving\01_笔记\knative serving.assets","35.1"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\02_Knative_Eventing\01_笔记\Knative Eventing.md","23-云计算下一个十年技术Serverless","Knative Eventing.md","391","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\02_Knative_Eventing\01_笔记\Knative Eventing.assets","19.7"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\03_kn工具安装\01_笔记\kn工具安装及应用.md","23-云计算下一个十年技术Serverless","kn工具安装及应用.md","67","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\03_kn工具安装\01_笔记\kn工具安装及应用.assets","2.9"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\04_Knative_Eventing应用案例\01_笔记\Knative Eventing组件及应用案例.md","23-云计算下一个十年技术Serverless","Knative Eventing组件及应用案例.md","479","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\08_Knative部署及应用案例\04_Knative_Eventing应用案例\01_笔记\Knative Eventing组件及应用案例.assets","18.2"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\01_tekton部署\01_笔记\Tekton安装.md","23-云计算下一个十年技术Serverless","Tekton安装.md","254","False","","13.1"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\01_Tekton应用_初体验\01_笔记\Tekton初体验.md","23-云计算下一个十年技术Serverless","Tekton初体验.md","494","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\01_Tekton应用_初体验\01_笔记\Tekton初体验.assets","25.4"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\02_Tekton应用_构建自定义Tag镜像应用案例\01_笔记\构建自定义Tag镜像应用案例.md","23-云计算下一个十年技术Serverless","构建自定义Tag镜像应用案例.md","233","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\02_Tekton应用_构建自定义Tag镜像应用案例\01_笔记\构建自定义Tag镜像应用案例.assets","7.7"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\03_Tekton应用_流水线中使用WorkSpace应用案例\01_笔记\Tekton流水线中使用WorkSpace应用案例.md","23-云计算下一个十年技术Serverless","Tekton流水线中使用WorkSpace应用案例.md","205","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\03_Tekton应用_流水线中使用WorkSpace应用案例\01_笔记\Tekton流水线中使用WorkSpace应用案例.assets","9.6"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\04_Tekton应用_使用DIND实现容器镜像构建应用案例\01_笔记\使用 Tekton Sidecar 实现 Docker IN Docker 构建.md","23-云计算下一个十年技术Serverless","使用 Tekton Sidecar 实现 Docker IN Docker 构建.md","278","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\04_Tekton应用_使用DIND实现容器镜像构建应用案例\01_笔记\使用 Tekton Sidecar 实现 Docker IN Docker 构建.assets","10.5"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\05_Tekton应用_使用GitLab WebHook触发Tekton自动构建应用案例\01_笔记\GitLab 触发 Tekton 任务构建.md","23-云计算下一个十年技术Serverless","GitLab 触发 Tekton 任务构建.md","569","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\05_Tekton应用_使用GitLab WebHook触发Tekton自动构建应用案例\01_笔记\GitLab 触发 Tekton 任务构建.assets","25.3"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\06_tekton应用_使用Tekton实现自动流水线应用案例\01_笔记\使用 Tekton 实现自动化流水线.md","23-云计算下一个十年技术Serverless","使用 Tekton 实现自动化流水线.md","1005","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\06_tekton应用_使用Tekton实现自动流水线应用案例\01_笔记\使用 Tekton 实现自动化流水线.assets","39.2"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\07_tekton应用_Tekton与Argo CD结合实现 GitOps\01_笔记\Tekton 与 Argo CD 结合实现 GitOps.md","23-云计算下一个十年技术Serverless","Tekton 与 Argo CD 结合实现 GitOps.md","1287","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\09_Tekton全自动发布Knative平台应用案例\02_tekton应用案例（从入门到熟练）\07_tekton应用_Tekton与Argo CD结合实现 GitOps\01_笔记\Tekton 与 Argo CD 结合实现 GitOps.assets","49.4"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\10_Knative平台应用可观测性\01_笔记\Knative 可观测性 使用prometheus与grafana监控.md","23-云计算下一个十年技术Serverless","Knative 可观测性 使用prometheus与grafana监控.md","153","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\10_Knative平台应用可观测性\01_笔记\Knative 可观测性 使用prometheus与grafana监控.assets","7.1"
"23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\11_Knative平台应用日志收集分析\01_笔记\EFK.md","23-云计算下一个十年技术Serverless","EFK.md","814","True","23-云计算下一个十年技术Serverless\1-Serverless深度实战之Knative\49_serverless深度实战之Knative\49_serverless深度实战之Knative\11_Knative平台应用日志收集分析\01_笔记\EFK.assets","30.5"
"23-云计算下一个十年技术Serverless\OpenFaaS课程笔记\OpenFaaS课程笔记\OpenFaaS 函数即服务.md","23-云计算下一个十年技术Serverless","OpenFaaS 函数即服务.md","912","True","23-云计算下一个十年技术Serverless\OpenFaaS课程笔记\OpenFaaS课程笔记\OpenFaaS 函数即服务.assets","40.9"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\.github\ISSUE_TEMPLATE.md","24-Golang 开发入门精讲","ISSUE_TEMPLATE.md","37","False","","0.9"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\.github\PULL_REQUEST_TEMPLATE.md","24-Golang 开发入门精讲","PULL_REQUEST_TEMPLATE.md","6","False","","0.4"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\AUTHORS.md","24-Golang 开发入门精讲","AUTHORS.md","125","False","","4.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\BENCHMARKS.md","24-Golang 开发入门精讲","BENCHMARKS.md","637","False","","52.9"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\CHANGELOG.md","24-Golang 开发入门精讲","CHANGELOG.md","367","False","","27.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\CODE_OF_CONDUCT.md","24-Golang 开发入门精讲","CODE_OF_CONDUCT.md","28","False","","3.1"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\gin-gonic\gin@v1.7.4\CONTRIBUTING.md","24-Golang 开发入门精讲","CONTRIBUTING.md","11","False","","0.6"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\golang\protobuf@v1.3.3\.github\ISSUE_TEMPLATE\bug_report.md","24-Golang 开发入门精讲","bug_report.md","13","False","","0.6"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\golang\protobuf@v1.5.2\.github\ISSUE_TEMPLATE\feature_request.md","24-Golang 开发入门精讲","feature_request.md","12","False","","0.5"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\golang\protobuf@v1.5.2\.github\ISSUE_TEMPLATE\question.md","24-Golang 开发入门精讲","question.md","4","False","","0.1"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\golang\protobuf@v1.5.2\CONTRIBUTING.md","24-Golang 开发入门精讲","CONTRIBUTING.md","21","False","","1.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.4.1\.github\CONTRIBUTING.md","24-Golang 开发入门精讲","CONTRIBUTING.md","5","False","","0.5"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.4.1\.github\ISSUE_TEMPLATE.md","24-Golang 开发入门精讲","ISSUE_TEMPLATE.md","5","False","","0.1"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.4.1\.github\PULL_REQUEST_TEMPLATE.md","24-Golang 开发入门精讲","PULL_REQUEST_TEMPLATE.md","8","False","","0.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.9.0\.github\CONTRIBUTING.md","24-Golang 开发入门精讲","CONTRIBUTING.md","5","False","","0.5"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.9.0\.github\ISSUE_TEMPLATE.md","24-Golang 开发入门精讲","ISSUE_TEMPLATE.md","7","False","","0.4"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.9.0\.github\PULL_REQUEST_TEMPLATE.md","24-Golang 开发入门精讲","PULL_REQUEST_TEMPLATE.md","4","False","","0.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-playground\validator\v10@v10.9.0\MAINTAINERS.md","24-Golang 开发入门精讲","MAINTAINERS.md","13","False","","0.4"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-sql-driver\mysql@v1.5.0\.github\CONTRIBUTING.md","24-Golang 开发入门精讲","CONTRIBUTING.md","13","False","","1.1"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-sql-driver\mysql@v1.5.0\.github\ISSUE_TEMPLATE.md","24-Golang 开发入门精讲","ISSUE_TEMPLATE.md","15","False","","0.4"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-sql-driver\mysql@v1.5.0\.github\PULL_REQUEST_TEMPLATE.md","24-Golang 开发入门精讲","PULL_REQUEST_TEMPLATE.md","8","False","","0.3"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\go-sql-driver\mysql@v1.5.0\CHANGELOG.md","24-Golang 开发入门精讲","CHANGELOG.md","162","False","","8.9"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\jinzhu\gorm@v1.9.16\.github\ISSUE_TEMPLATE.md","24-Golang 开发入门精讲","ISSUE_TEMPLATE.md","34","False","","1.2"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\jinzhu\gorm@v1.9.16\.github\PULL_REQUEST_TEMPLATE.md","24-Golang 开发入门精讲","PULL_REQUEST_TEMPLATE.md","6","False","","0.3"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\json-iterator\go@v1.1.9\fuzzy_mode_convert_table.md","24-Golang 开发入门精讲","fuzzy_mode_convert_table.md","7","False","","0.9"
"24-Golang 开发入门精讲\2-走进Golang\代码\goproject\pkg\mod\github.com\sirupsen\logrus@v1.8.1\CHANGELOG.md","24-Golang 开发入门精讲","CHANGELOG.md","182","False","","7.3"
